[ 4413.729750] test_tasks_init: In init
[ 4413.729754] Process: systemd	 PID:[1]	 State:TASK_INTERRUPTIBLE
[ 4413.729756] Process: kthreadd	 PID:[2]	 State:TASK_INTERRUPTIBLE
[ 4413.729758] Process: rcu_gp	 PID:[3]	 State:Unknown Type:1026

[ 4413.729760] Process: rcu_par_gp	 PID:[4]	 State:Unknown Type:1026

[ 4413.729787] Process: slub_flushwq	 PID:[5]	 State:Unknown Type:1026

[ 4413.729810] Process: netns	 PID:[6]	 State:Unknown Type:1026

[ 4413.729812] Process: kworker/0:0H	 PID:[8]	 State:Unknown Type:1026

[ 4413.729813] Process: mm_percpu_wq	 PID:[10]	 State:Unknown Type:1026

[ 4413.729815] Process: rcu_tasks_kthre	 PID:[11]	 State:Unknown Type:1026

[ 4413.729816] Process: rcu_tasks_rude_	 PID:[12]	 State:Unknown Type:1026

[ 4413.729817] Process: rcu_tasks_trace	 PID:[13]	 State:Unknown Type:1026

[ 4413.729819] Process: ksoftirqd/0	 PID:[14]	 State:TASK_INTERRUPTIBLE
[ 4413.729820] Process: rcu_preempt	 PID:[15]	 State:Unknown Type:1026

[ 4413.729821] Process: migration/0	 PID:[16]	 State:TASK_INTERRUPTIBLE
[ 4413.729822] Process: idle_inject/0	 PID:[17]	 State:TASK_INTERRUPTIBLE
[ 4413.729823] Process: cpuhp/0	 PID:[19]	 State:TASK_INTERRUPTIBLE
[ 4413.729825] Process: cpuhp/1	 PID:[20]	 State:TASK_INTERRUPTIBLE
[ 4413.729826] Process: idle_inject/1	 PID:[21]	 State:TASK_INTERRUPTIBLE
[ 4413.729827] Process: migration/1	 PID:[22]	 State:TASK_INTERRUPTIBLE
[ 4413.729829] Process: ksoftirqd/1	 PID:[23]	 State:TASK_INTERRUPTIBLE
[ 4413.729831] Process: kworker/1:0H	 PID:[25]	 State:Unknown Type:1026

[ 4413.729832] Process: cpuhp/2	 PID:[26]	 State:TASK_INTERRUPTIBLE
[ 4413.729834] Process: idle_inject/2	 PID:[27]	 State:TASK_INTERRUPTIBLE
[ 4413.729835] Process: migration/2	 PID:[28]	 State:TASK_INTERRUPTIBLE
[ 4413.729836] Process: ksoftirqd/2	 PID:[29]	 State:TASK_INTERRUPTIBLE
[ 4413.729838] Process: kworker/2:0H	 PID:[31]	 State:Unknown Type:1026

[ 4413.729839] Process: cpuhp/3	 PID:[32]	 State:TASK_INTERRUPTIBLE
[ 4413.729840] Process: idle_inject/3	 PID:[33]	 State:TASK_INTERRUPTIBLE
[ 4413.729841] Process: migration/3	 PID:[34]	 State:TASK_INTERRUPTIBLE
[ 4413.729843] Process: ksoftirqd/3	 PID:[35]	 State:TASK_INTERRUPTIBLE
[ 4413.729844] Process: kworker/3:0H	 PID:[37]	 State:Unknown Type:1026

[ 4413.729845] Process: kdevtmpfs	 PID:[38]	 State:TASK_INTERRUPTIBLE
[ 4413.729847] Process: inet_frag_wq	 PID:[39]	 State:Unknown Type:1026

[ 4413.729848] Process: kauditd	 PID:[40]	 State:Unknown Type:8193

[ 4413.729850] Process: khungtaskd	 PID:[41]	 State:TASK_INTERRUPTIBLE
[ 4413.729880] Process: oom_reaper	 PID:[43]	 State:Unknown Type:8193

[ 4413.729881] Process: writeback	 PID:[45]	 State:Unknown Type:1026

[ 4413.729882] Process: kcompactd0	 PID:[46]	 State:Unknown Type:8193

[ 4413.729884] Process: ksmd	 PID:[47]	 State:Unknown Type:8193

[ 4413.729885] Process: khugepaged	 PID:[48]	 State:Unknown Type:8193

[ 4413.729886] Process: kintegrityd	 PID:[49]	 State:Unknown Type:1026

[ 4413.729888] Process: kblockd	 PID:[50]	 State:Unknown Type:1026

[ 4413.729889] Process: blkcg_punt_bio	 PID:[51]	 State:Unknown Type:1026

[ 4413.729890] Process: tpm_dev_wq	 PID:[52]	 State:Unknown Type:1026

[ 4413.729891] Process: ata_sff	 PID:[53]	 State:Unknown Type:1026

[ 4413.729893] Process: md	 PID:[54]	 State:Unknown Type:1026

[ 4413.729894] Process: edac-poller	 PID:[55]	 State:Unknown Type:1026

[ 4413.729895] Process: devfreq_wq	 PID:[56]	 State:Unknown Type:1026

[ 4413.729896] Process: watchdogd	 PID:[57]	 State:TASK_INTERRUPTIBLE
[ 4413.729898] Process: kworker/0:1H	 PID:[58]	 State:Unknown Type:1026

[ 4413.729899] Process: kswapd0	 PID:[59]	 State:TASK_INTERRUPTIBLE
[ 4413.729900] Process: ecryptfs-kthrea	 PID:[60]	 State:Unknown Type:8193

[ 4413.729901] Process: kthrotld	 PID:[62]	 State:Unknown Type:1026

[ 4413.729903] Process: acpi_thermal_pm	 PID:[63]	 State:Unknown Type:1026

